Date,Time,Type,Account,Amount,Currency
2025-05-20,8:13 PM,Deposit,Xverse Wallet,0.00001092 BTC,
2025-05-14,11:13 AM,Withdrawal,Xverse Wallet,-0.0001407 BTC,
2025-05-14,11:13 AM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-12,3:49 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-12,3:49 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-12,3:49 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-12,3:49 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-12,3:40 PM,Withdrawal,Xverse Wallet,-0.00092166 BTC,
2025-05-12,3:40 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-05-07,8:07 PM,Transfer,2 Platforms,-0.00155831 BTC,
2025-05-06,2:53 AM,Withdrawal,Xverse Wallet,-0.00000546 BTC,
2025-05-06,2:53 AM,Deposit,Xverse Wallet,0.00156363 BTC,
2025-05-06,7:14 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-04-09,7:14 PM,Deposit,Xverse Wallet,0.00000546,BTC
2025-04-09,4:00 PM,Withdrawal,Xverse Wallet,-0.00422125,BTC
2025-04-09,4:00 PM,Deposit,Xverse Wallet,0.00000546,BTC
2025-04-09,4:00 PM,Withdrawal,Xverse Wallet,-0.00422125 BTC,
2025-04-09,4:00 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-04-07,10:23 PM,Transfer,2 Platforms,-0.00417675,BTC
2025-04-07,5:44 PM,Deposit,Xverse Wallet,0.00411,BTC
2025-04-07,10:23 PM,Transfer,2 Platforms,-0.00417875 BTC,
2025-04-07,5:44 PM,Deposit,Xverse Wallet,0.00411 BTC,
2025-03-31,6:17 PM,Withdrawal,Xverse Wallet,-0.00002765,BTC
2025-03-31,6:17 PM,Deposit,Xverse Wallet,0.0000033,BTC
2025-03-31,8:17 PM,Withdrawal,Xverse Wallet,-0.00002765 BTC,
2025-03-31,8:17 PM,Deposit,Xverse Wallet,0.0000033 BTC,
2025-03-28,2:50 PM,Withdrawal,Xverse Wallet,-3.32E-04,BTC
2025-03-28,2:50 PM,Deposit,Xverse Wallet,0.00000546,BTC
2025-03-28,2:50 PM,Withdrawal,Xverse Wallet,-0.00033165 BTC,
2025-03-28,2:50 PM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-03-25,1:25 PM,Withdrawal,Xverse Wallet,-0.00034257,BTC
2025-03-25,3:09 AM,Withdrawal,Xverse Wallet,-0.00114,BTC
2025-03-25,1:25 PM,Withdrawal,Xverse Wallet,-0.00034257 BTC,
2025-03-25,3:09 AM,Withdrawal,Xverse Wallet,-0.00114 BTC,
2025-03-24,5:31 AM,Withdrawal,Xverse Wallet,-0.00033722,BTC
2025-03-24,5:31 AM,Deposit,Xverse Wallet,0.00000546,BTC
2025-03-24,5:31 AM,Withdrawal,Xverse Wallet,-0.00033722 BTC,
2025-03-24,5:31 AM,Deposit,Xverse Wallet,0.00000546 BTC,
2025-03-22,5:01 AM,Withdrawal,Xverse Wallet,-0.00148197,BTC
2025-03-22,5:01 AM,Withdrawal,Xverse Wallet,-0.00148197 BTC,
2025-03-20,8:24 PM,Withdrawal,Xverse Wallet,-0.00044358,BTC
2025-03-20,8:24 PM,Withdrawal,Xverse Wallet,-0.00044358,BTC
2025-03-20,8:24 PM,Deposit,Xverse Wallet,0.00000546,BTC
2025-03-20,7:49 PM,Withdrawal,Xverse Wallet,-0.00000546,BTC
2025-03-20,7:49 PM,Withdrawal,Xverse Wallet,-5.46E-06,BTC
2025-03-20,7:49 PM,Deposit,Xverse Wallet,0.00219446,BTC
2025-03-20,7:49 PM,Deposit,Xverse Wallet,0.00209496,BTC
2025-03-20,8:24 PM,Withdrawal,Xverse Wallet,-0.00044358 BTC,
2025-03-06,2:47 PM,Trade,Xverse Wallet,-0.0007035,BTC
2025-03-04,1:49 PM,Deposit,Xverse Wallet,0.00088,BTC
2025-02-26,3:45 PM,Trade,Xverse Wallet,-0.00085221,BTC
2025-02-26,3:34 PM,Deposit,Xverse Wallet,0.0008,BTC
2025-02-18,8:14 PM,Fee,Xverse Wallet,,BTC
2025-02-18,8:14 PM,Trade,Xverse Wallet,-0.00050235,BTC
2025-02-18,8:01 PM,Deposit,Xverse Wallet,0.0003,BTC
2025-02-17,4:03 PM,Withdrawal,Xverse Wallet,-350000,DOG
2025-01-22,11:19 AM,Transfer,2 Platforms,,The Mugshot #0007
2025-01-21,8:15 PM,Mint,Xverse Wallet,-0.00013448,BTC
2025-01-20,11:43 PM,Mint,Xverse Wallet,-0.00014424,BTC
2025-01-20,5:15 PM,Withdrawal,Xverse Wallet,-0.00006612,BTC
2025-01-14,11:46 PM,Transfer,2 Platforms,,Runestone#64454629
2025-01-12,6:44 AM,Mint,Xverse Wallet,-0.00006675,BTC
2025-01-12,6:17 AM,Trade,Xverse Wallet,-0.00459909,BTC
2025-01-12,6:14 AM,Fee,Xverse Wallet,,BTC
2025-01-12,6:00 AM,Transfer,2 Platforms,-0.00520643,BTC
2025-01-02,4:20 AM,Staking Income,Xverse Wallet,,2 Assets
2025-01-02,3:50 AM,Deposit,Xverse Wallet,0.00009583,BTC
2025-01-01,5:00 AM,Basis Reallocation,Xverse Wallet,,2 Assets
2025-01-01,5:00 AM,Basis Reallocation,Xverse Wallet,,2 Assets
2025-01-01,5:00 AM,Basis Reallocation,Xverse Wallet,,DOG
